BA1;Ich kann einerseits gut planen, aber auch intuitiv an Aufgaben herangehen.
BA2;Ich kann aus mir herausgehen, mich aber auch zurückhalten.
BA3;Ich kann meinen Gefühlen Ausdruck verleihen, sie aber auch für mich behalten.
BA4;Ich versuche eine Balance zwischen Aktivität und Passivität hinzubekommen (z.B. Dinge in die Hand nehmen oder abwarten).
BA5;Ich kann sowohl aus dem Bauch heraus entscheiden als auch analytisch an eine Sache herangehen.
BA6;Manchmal entscheide ich ganz intuitiv, manchmal ganz überlegt.
CO1;Ich sage mir, dass Stress und Druck auch ihre guten Seiten haben.
CO2;Ich mache mir schon vorher Gedanken, wie ich Zeitdruck vermeiden kann.
CO3;Ich sehe Stress und Druck als positive Herausforderung an.
CO4;Auch wenn ich sehr unter Druck stehe, verliere ich meinen Humor nicht.
CO5;Bei Stress und Druck konzentriere ich mich einfach auf das Positive.
CO6;Ich tue alles, damit Stress erst gar nicht entsteht.
CO7;Bei Stress und Druck beseitige ich gezielt die Ursachen.
GE1;Ich kann mich auch über Kleinigkeiten richtig aufregen.
GE2;Mich kann nichts so leicht aus der Ruhe bringen.
GE3;Wenn ich etwas nicht sofort finde, fällt es mir schwer, Ruhe zu bewahren.
GE4;Ich fühle mich im Allgemeinen oft gehetzt.
GE5;Auch Kleinigkeiten bringen mich leicht aus der Fassung.
GE6;Auch in schwierigen Situationen bleibe ich gelassen.
GS1;Ich kann Erfolge richtig genießen.
GS2;In Pausen denke ich oft weiter über die Arbeit nach.
GS3;Ich verwöhne mich selbst.
GS4;Ich gönne mir Zeiten, in denen ich nur das tue, wonach mir gerade ist.
GS5;In Pausen kann ich gut abschalten.
GS6;Ich gönne mir ab und zu etwas Gutes.
GS7;Ich genieße Musik, Literatur, Kunst, Essen oder die Natur.
GS8;Ich genieße die schönen Dinge des Lebens bewusst.
KO1;Ich tue etwas für meine Gesundheit.
KO2;Ich achte auf meinen Körper.
KO3;Ich achte auf mein Äußeres.
KO4;Mir ist körperliche Aktivität wichtig.
KO5;Ich achte auf die Ausgewogenheit meiner Ernährung.
KO6;Ich versuche, gesund zu leben.
VL1;Ich nehme mir ausreichend Zeit für meine Hobbies.
VL2;Mir fällt es leicht, Verpflichtungen und Freizeitaktivitäten unter einen Hut zu bekommen.
VL3;Bestimmte Bereiche in meinem Leben kommen zu kurz.
VL4;Ein Ausgleich zwischen privaten und beruflichen Aufgaben ist mir wichtig.
VL5;Die Vereinbarkeit von Beruf und Privatleben liegt mir am Herzen.
OF1;Neue Herausforderungen nehme ich gerne an.
OF2;Ich probiere gerne Neues aus.
OF3;Mich interessiert, was in der Welt geschieht.
OF4;Ich finde es spannend neue Leute kennenzulernen.
OF5;Ich fühle mich nur in einer vertrauten Umgebung wirklich wohl.
OF6;Ich bin sehr wissbegierig.
OF7;Ich bin offen für neue Entwicklungen.
OP1;Ich teile meine Kräfte gut ein
OP2;Wenn ich viel zu erledigen habe, verliere ich leicht den Überblick.
OP3;Mir gelingt es, meine Wünsche und Möglichkeiten in Einklang zu bringen.
OP4;Auch bei widrigen Umständen komme ich zu guten Ergebnissen.
OP5;Ich setze meine Ziele um.
OP6;Wenn mir etwas wichtig ist, dann versuche ich es auch zu erreichen.
OP7;Ich verzettle mich oft.
